CurrentMapping,CurrentCtpOfferId,OldMapping,OldCtpOfferId
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^FJ^1^Year^Direct^^Global,57edd275-d98b-49b4-bed2-c46384c7cae0,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^FJ^1^Year^Direct^edu.microsoft.com_edu^Global,cbe99364-1f21-4d83-826c-6caa63b74cf6
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^GE^1^Year^Direct^^Global,ffd42e50-db68-47dd-abca-72aa07a14580,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^GE^1^Year^Direct^edu.microsoft.com_edu^Global,513f945e-cd56-42a2-8044-8e69d418d703
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^GH^1^Year^Direct^^Global,f0025d59-3bbd-4714-b2c7-94647028dc8f,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^GH^1^Year^Direct^edu.microsoft.com_edu^Global,2b6f0119-73d1-4a39-8e93-008bbbe9ea40
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^GT^1^Year^Direct^^Global,a1e2df7f-9a90-4aaf-a6b3-905d92c5c67a,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^GT^1^Year^Direct^edu.microsoft.com_edu^Global,926b4442-57fe-4f12-8dcd-c660c4263cee
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^HK^1^Year^Direct^^Global,902de4cb-0756-4a0c-bec9-791e50b180a3,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^HK^1^Year^Direct^edu.microsoft.com_edu^Global,d8e88827-e209-4cf4-a7f9-0070984e452a
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^HN^1^Year^Direct^^Global,cea783e4-8f04-465d-a507-1c3545ca6187,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^HN^1^Year^Direct^edu.microsoft.com_edu^Global,1e96d659-61d7-4ee9-be3a-71c268c267c8
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^HR^1^Year^Direct^^Global,ab372e50-8f85-4f2e-8565-0738bfcd6d3f,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^HR^1^Year^Direct^edu.microsoft.com_edu^Global,4bfd688d-b123-4f88-89bb-1a77673e21cb
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^IL^1^Year^Direct^^Global,cbd197a5-1e5f-40b2-af28-35fd7e9a9c1f,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^IL^1^Year^Direct^edu.microsoft.com_edu^Global,b21c809c-a68b-417e-9251-36250ffc98f3
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^IN^1^Year^Direct^^Global,613f4a2d-3245-45e2-9d9b-941f47bd5d50,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^IN^1^Year^Direct^edu.microsoft.com_edu^Global,64292d88-19f1-44b4-9dcc-03ce879a8092
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^IQ^1^Year^Direct^^Global,b3d7d3bb-b962-4457-a193-f21a9a9cac29,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^IQ^1^Year^Direct^edu.microsoft.com_edu^Global,4f803c0f-1cc6-4257-a8cb-debbae040408
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^JM^1^Year^Direct^^Global,4ae2ed30-529d-4536-98b8-5f07d83fd366,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^JM^1^Year^Direct^edu.microsoft.com_edu^Global,279c8a3a-0b84-4719-b429-ece74b140c88
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^JO^1^Year^Direct^^Global,8445cfc0-ddf4-4eb5-9957-c271a4198169,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^JO^1^Year^Direct^edu.microsoft.com_edu^Global,773b017b-aeb6-4bc7-a704-6bace0a264e2
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KE^1^Year^Direct^^Global,05b8b9e6-eae4-4c44-a93c-b42bf5c85926,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KE^1^Year^Direct^edu.microsoft.com_edu^Global,c14ce698-bb03-45cb-a5c0-844dbf246ab1
