BillableAccount	CTPSubRefId	CTPOfferId	TargetCTPOfferId
2131265606	3	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	a
2134595542	2	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	a
2141377470	4	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	a
2143168670	5	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	a
2645058344	3	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	a
2645955282	3	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	a
2680384390	2	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	a
2017345992	4	0CD36901-CCEE-42CE-8869-3C727BA56317	a
2925889640	1	0CD36901-CCEE-42CE-8869-3C727BA56317	a
1770305990	4	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
1770433014	2	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
1770816542	1	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
1770816934	4	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
1787586828	3	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
1877058788	2	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
4530754963	3	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
3470658797	4	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
3888961915	1	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
3898051245	3	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
3972289091	3	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
4018626605	4	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
4163267595	2	7A45FCBC-3816-463B-AA95-3E0B0B34000C	a
1273153988	7	1E2E153E-7E76-491B-8236-40069790E495	a
851523966	5	8FF75022-44E4-42C0-B448-4126325787BE	a
1627075712	2	8FF75022-44E4-42C0-B448-4126325787BE	a
1680321982	3	8FF75022-44E4-42C0-B448-4126325787BE	a
2119747340	3	8FF75022-44E4-42C0-B448-4126325787BE	a
3964483347	7	8FF75022-44E4-42C0-B448-4126325787BE	a
5121473125	5	77F56DFC-3F49-4071-AB5A-4323C75CAADB	a
3159873738	1	3E6C66FC-E654-4F91-800B-46164A1185DA	a
3269184166	1	3E6C66FC-E654-4F91-800B-46164A1185DA	a
3993538361	2	3E6C66FC-E654-4F91-800B-46164A1185DA	a
2110530982	3	5EF3675B-79EA-49BF-800C-46E5461F9B7A	a
2836546910	3	5EF3675B-79EA-49BF-800C-46E5461F9B7A	a
3241537578	1	5EF3675B-79EA-49BF-800C-46E5461F9B7A	a
3995971023	1	5EF3675B-79EA-49BF-800C-46E5461F9B7A	a
2298947760	1	E778E52F-36EE-4E79-92A5-4BDDAE5FD58B	a
4160323479	4	651C3382-095F-41B1-BC84-4EDFA4C0C409	a
2142657706	2	1AF11725-BA10-4A03-908B-52012FE51F48	a
2143297390	10	1AF11725-BA10-4A03-908B-52012FE51F48	a
2144064736	1	1AF11725-BA10-4A03-908B-52012FE51F48	a
2147011050	4	1AF11725-BA10-4A03-908B-52012FE51F48	a
2148291364	1	1AF11725-BA10-4A03-908B-52012FE51F48	a
