BillableAccount	CTPSubRefId	CTPOfferId	TargetCTPOfferId	
3993538361	2	3E6C66FC-E654-4F91-800B-46164A1185DA	84924d63-8fdc-41c1-922b-e4d09ac5b400	
2110530982	3	5EF3675B-79EA-49BF-800C-46E5461F9B7A	7ca62121-4830-40b5-a275-5ca11b4238d4	
2836546910	3	5EF3675B-79EA-49BF-800C-46E5461F9B7A	7ca62121-4830-40b5-a275-5ca11b4238d4	
3241537578	1	5EF3675B-79EA-49BF-800C-46E5461F9B7A	7ca62121-4830-40b5-a275-5ca11b4238d4	
3995971023	1	5EF3675B-79EA-49BF-800C-46E5461F9B7A	7ca62121-4830-40b5-a275-5ca11b4238d4	
2298947760	1	E778E52F-36EE-4E79-92A5-4BDDAE5FD58B	a	
4160323479	4	651C3382-095F-41B1-BC84-4EDFA4C0C409	a78ccdf1-0038-40ce-bd49-1bbd8ec4dd76	
2142657706	2	1AF11725-BA10-4A03-908B-52012FE51F48	27a9941a-d174-4c69-830b-b298f614a054	
2143297390	10	1AF11725-BA10-4A03-908B-52012FE51F48	27a9941a-d174-4c69-830b-b298f614a054	
2144064736	1	1AF11725-BA10-4A03-908B-52012FE51F48	27a9941a-d174-4c69-830b-b298f614a054	
2147011050	4	1AF11725-BA10-4A03-908B-52012FE51F48	27a9941a-d174-4c69-830b-b298f614a054	
2148291364	1	1AF11725-BA10-4A03-908B-52012FE51F48	27a9941a-d174-4c69-830b-b298f614a054	
2718145066	4	1AF11725-BA10-4A03-908B-52012FE51F48	27a9941a-d174-4c69-830b-b298f614a054	
2986177132	4	1AF11725-BA10-4A03-908B-52012FE51F48	27a9941a-d174-4c69-830b-b298f614a054	
3869633181	1	1AF11725-BA10-4A03-908B-52012FE51F48	27a9941a-d174-4c69-830b-b298f614a054	
1984576922	2	4817A70C-1DB6-4303-8A3B-5440D144D90C	18926c4b-05a4-4e8b-9f3e-d760d0c4fb1e	
2246209490	1	4817A70C-1DB6-4303-8A3B-5440D144D90C	18926c4b-05a4-4e8b-9f3e-d760d0c4fb1e	
2683203984	7	4817A70C-1DB6-4303-8A3B-5440D144D90C	18926c4b-05a4-4e8b-9f3e-d760d0c4fb1e	
3073731372	5	4817A70C-1DB6-4303-8A3B-5440D144D90C	18926c4b-05a4-4e8b-9f3e-d760d0c4fb1e	
4295488945	8	4817A70C-1DB6-4303-8A3B-5440D144D90C	18926c4b-05a4-4e8b-9f3e-d760d0c4fb1e	
2310083282	1	A92CDF44-D7AD-49CC-81C0-5515DADC02F8	bf030e59-279f-4145-a70d-ea98c2674fbd	
2310723858	5	A92CDF44-D7AD-49CC-81C0-5515DADC02F8	bf030e59-279f-4145-a70d-ea98c2674fbd	
2645955256	3	A92CDF44-D7AD-49CC-81C0-5515DADC02F8	bf030e59-279f-4145-a70d-ea98c2674fbd	
2679491470	2	A92CDF44-D7AD-49CC-81C0-5515DADC02F8	bf030e59-279f-4145-a70d-ea98c2674fbd	
2933314618	4	A92CDF44-D7AD-49CC-81C0-5515DADC02F8	bf030e59-279f-4145-a70d-ea98c2674fbd	
3787459093	6	A92CDF44-D7AD-49CC-81C0-5515DADC02F8	bf030e59-279f-4145-a70d-ea98c2674fbd	
3457218353	3	508CDBFD-E776-4599-A1AB-589BD3B7F29D	a8210628-23fa-4900-9084-fb8ecd0e20f5	
1990336472	3	F240A296-713C-46E2-AEAC-65AFCFDEEF64	0e8e8d7e-edca-4267-84a1-5f13547b5da7	
1993539310	6	F240A296-713C-46E2-AEAC-65AFCFDEEF64	0e8e8d7e-edca-4267-84a1-5f13547b5da7	
1598402180	2	108223EB-F0EA-412B-87FB-6696CF39D659	d828a9cf-562c-4f03-ba8e-960f1b180e49	
1858754178	4	108223EB-F0EA-412B-87FB-6696CF39D659	d828a9cf-562c-4f03-ba8e-960f1b180e49	
3457218353	1	0BA3074B-D8A3-4818-8AA5-6911FC534A1B	a	
1672257652	6	8C4677D7-0198-4B2C-856E-6C4CC9DF16E4	15ab3f1a-5c1e-4d7c-a493-d77ee9ee9baf	
1756227254	3	8C4677D7-0198-4B2C-856E-6C4CC9DF16E4	15ab3f1a-5c1e-4d7c-a493-d77ee9ee9baf	
5121473125	3	C03CD33B-2D5D-4825-8298-6E5F6FC1BE40	a	
2777664406	5	F368EA75-9167-462A-947C-6E722BE656F0	916b5aac-ddd3-426f-a249-65db424d5192	
3871297255	4	F368EA75-9167-462A-947C-6E722BE656F0	916b5aac-ddd3-426f-a249-65db424d5192	
4079683861	3	F368EA75-9167-462A-947C-6E722BE656F0	916b5aac-ddd3-426f-a249-65db424d5192	
5028035263	9	78529E4C-D261-42E9-8220-7692B2B7C56C	dc9b3d9a-634b-422b-b4bb-5e64048d0d79	
1846211648	2	0AA169B7-35FE-4E3C-931C-7ABBBC86676D	741e7343-64fe-4c61-bd53-c39a9fea6f6a	
1928898976	4	0AA169B7-35FE-4E3C-931C-7ABBBC86676D	741e7343-64fe-4c61-bd53-c39a9fea6f6a	
2255427718	4	0AA169B7-35FE-4E3C-931C-7ABBBC86676D	741e7343-64fe-4c61-bd53-c39a9fea6f6a	
3796288337	7	0AA169B7-35FE-4E3C-931C-7ABBBC86676D	741e7343-64fe-4c61-bd53-c39a9fea6f6a	
3856833481	2	0AA169B7-35FE-4E3C-931C-7ABBBC86676D	741e7343-64fe-4c61-bd53-c39a9fea6f6a	
4218560193	3	0AA169B7-35FE-4E3C-931C-7ABBBC86676D	741e7343-64fe-4c61-bd53-c39a9fea6f6a	
1390785386	5	BD833766-AE8C-4246-B749-7BBB7F1E195C	b7efe8f4-6856-4367-9057-8cbc0f44ee74	
3975490917	1	BD833766-AE8C-4246-B749-7BBB7F1E195C	b7efe8f4-6856-4367-9057-8cbc0f44ee74	
582464272	4	429A5F91-1620-4B35-94BA-7BE74DF0F569	2b3aeecb-5145-4f54-809d-b45f2e11ca95	
2589377614	7	429A5F91-1620-4B35-94BA-7BE74DF0F569	2b3aeecb-5145-4f54-809d-b45f2e11ca95	
2032577216	6	EB48062C-EB5D-4D80-A313-80156C215CF5	b48461db-40f2-4578-a5b2-874385236a22	
