TenantId	AddressId	Country	PostalCode	Region	False	Valid 2 State Code	
AFB7EC75-42AC-42FA-BCAE-002C36D21162	DE0FF773-33C0-4F9A-9789-C3A53B52B923	IN	400069	MH		True	
3E7AAD8C-83BD-4EEF-99F7-00B60030AE3C	6C36F8B9-F80D-455C-897D-C76D3E118FE2	IN	600032	TN		True	
1A874D18-82E4-4C48-86F0-017CE0019B02	1CB7F6C4-D05C-4557-A921-10185361E580	IN	600028	TN		True	
3A9AC519-7710-4B95-B4B2-026184B4C836	085497E1-B359-4645-8F02-E2E823E2A038	IN	682038	Kerala	True	FALSE	
74C2A3A9-CC08-4513-BF98-036151FA82C4	5F774231-4271-44E2-91AA-EC548FD8E501	IN	400001	Maharashtra	True	FALSE	
8F58806B-2189-4C6D-BCD4-037DDBD1FE85	A9AACA01-982E-4D2C-8244-700B80DF9B56	IN	560058	KA		True	
8F58806B-2189-4C6D-BCD4-037DDBD1FE85	9E351A2A-5046-4805-A709-AE1E2E6B26DB	IN	560058	KA		True	
348F73BD-FEFA-4C59-B5B4-04C0C27D8806	526DE2AA-B4F5-4884-96D5-9F091FC0BCEB	IN	110020	newdelhi	False	FALSE	
2F6AF5C3-369E-401C-B726-05BFB7A0EA5F	BF86E687-FF8F-4492-A41F-9B5268BE4DB2	IN	400093	MH		True	
83FD25AE-7B51-4D6B-AB56-06189D4AC252	8F088685-97D5-4951-9CD0-FCE8AD455A27	IN	500096	Telangana	True	FALSE	
40A7572B-9FB3-4C0F-B3AD-06F053B256E5	C74D7B91-47C8-4CFF-A6C5-7ED0D2224213	IN	686661	Kerala	True	FALSE	
40A7572B-9FB3-4C0F-B3AD-06F053B256E5	676DA2C4-571E-4F32-A85F-B6782AD503B9	IN	686661	Kerala	True	FALSE	
E83D39E6-F19D-49CA-8261-07AE0659A01C	BAEA6264-A9D8-4EE2-990F-8E614859CC9A	IN	110058	Newdelhi	False	FALSE	
E83D39E6-F19D-49CA-8261-07AE0659A01C	CB9FA7D4-9661-48B1-B84B-9F0D42A50B2A	IN	110058	Newdelhi	False	FALSE	
38385748-170B-4FAA-981C-083F968A2EC8	06E3592D-F042-47BC-A2A8-158C61645B33	IN	560001	Karnataka	True	FALSE	
