TenantId	AddressId	Country	PostalCode	Region	False	Valid 2 State Code	
6C543F09-85D9-421F-BEFE-E4982B3E118B	F59AE0BF-7F41-4FBE-B197-1C6FB8AF6698	IN	411030	AN		True	
578EAE25-870D-4475-972E-C5B21D02756E	A3CFC480-D380-42E3-B146-508D01FD7363	IN	574227	AN		True	
174B794B-3F6C-4FED-88F9-57DFAD5669F0	CE11DDD6-F42A-4076-84E9-2BCA898B1630	IN	500035	AN		True	
236E675A-1182-4ACE-A1FF-C5A80E1C4634	436DC8CB-765E-45A9-905C-5C29B1EC62D2	IN	400099	AN		True	
6C543F09-85D9-421F-BEFE-E4982B3E118B	A2FAF80C-58CC-4965-AA42-BCC9CC0D840F	IN	411030	AN		True	
6FF7F1F9-3491-465B-802A-A7BAC1E0DC0C	36DF6896-B8CF-42AD-8091-697BEC31AB3F	IN	411057	AN		True	
731D3BF7-C5CF-40A8-9DDB-5B36E34A4943	6413E8DB-6FDC-40A3-B909-98511AE87E7D	IN	560010	AN		True	
502AB317-8371-49EA-A19A-FC1F010CAA9B	4F01FD25-0B9F-467E-BC95-ED6F756E9397	IN	301019	AN		True	
578EAE25-870D-4475-972E-C5B21D02756E	3F8BB01B-1194-4CF8-826D-06992643F84D	IN	574227	AN		True	
C45563F5-595C-449D-A63D-D57BEAD4271C	E1D262C8-9661-454E-A43B-9A67EAB3B173	IN	380054	AN		True	
4FA96B4D-1A3A-4455-836E-1DD6464F8AA0	2FDEDFBA-71E7-4935-ADF7-0DD9B8385C9D	IN	110020	AN		True	
4FA96B4D-1A3A-4455-836E-1DD6464F8AA0	709BCD79-E3F4-43D9-A4CD-7B3B49C5926E	IN	110020	AN		True	
4FA96B4D-1A3A-4455-836E-1DD6464F8AA0	A7BB8349-A467-454E-9482-78BEA37802F6	IN	110020	AN		True	
6FF7F1F9-3491-465B-802A-A7BAC1E0DC0C	56541924-6CDA-45A4-9756-D44C3A256808	IN	411057	AN		True	
